Identifier_1,sample,time,temperature,material,genus,species,sample_wt_initial,sample_wt_final,amount,d13C_corrected,d15N_corrected,N_wt_percent,C_wt_percent,C/N,notes
5047,goat.070.1,70,5,dentine,Capra,hircus,2.513,0.243,0.243,-23.26,3.86,14.78,40.03,2.71,
5048,goat.070.2,70,5,dentine,Capra,hircus,2.484,0.255,0.255,-23.26,3.77,14.77,40.46,2.74,
5049,goat.070.3,70,5,dentine,Capra,hircus,2.55,0.26,0.26,-23.24,3.86,14.96,40.86,2.73,
5050,goat.080.1,80,5,dentine,Capra,hircus,2.4,0.235,0.235,-23.12,3.95,15.12,40.34,2.67,
5051,goat.080.2,80,5,dentine,Capra,hircus,2.464,0.229,0.229,-23.16,3.75,15.1,40.59,2.69,
5052,goat.080.3,80,5,dentine,Capra,hircus,2.512,0.236,0.236,-23.17,3.9,15.12,40.63,2.69,
5053,goat.090.1,90,5,dentine,Capra,hircus,2.447,0.242,0.242,-23.22,3.81,15.35,41.76,2.72,
5054,goat.090.2,90,5,dentine,Capra,hircus,2.455,0.246,0.246,-23.23,3.69,14.75,40.57,2.75,
5058,goat.090.3,90,5,dentine,Capra,hircus,2.484,0.246,0.246,-23.21,3.92,15.23,41.26,2.71,
5059,goat.100.1,100,5,dentine,Capra,hircus,2.453,0.234,0.234,-23.24,3.86,15.01,40.75,2.71,
5060,goat.100.2,100,5,dentine,Capra,hircus,2.476,0.23,0.23,-23.28,3.71,14.89,40.85,2.74,
5061,goat.100.3,100,5,dentine,Capra,hircus,2.417,0.233,0.233,-23.25,3.77,15.04,40.85,2.72,
17650,goat.1080.1,1080,5,dentine,Capra,hircus,2.542,0.218,0.225,-23.11,4.06,14.58,42.92,2.94,
17651,goat.1080.2,1080,5,dentine,Capra,hircus,2,0.151,0.153,-23.02,3.9,15.23,44.65,2.93,
17652,goat.1080.3,1080,5,dentine,Capra,hircus,2.15,0.18,0.176,-23.07,3.99,14.79,43.18,2.92,
5062,goat.110.1,110,5,dentine,Capra,hircus,2.429,0.234,0.234,-23.16,3.78,15.03,40.53,2.7,
5063,goat.110.2,110,5,dentine,Capra,hircus,2.432,0.24,0.24,-23.14,3.86,15.1,40.96,2.71,
5064,goat.110.3,110,5,dentine,Capra,hircus,2.46,0.227,0.227,-23.18,3.79,15.15,40.72,2.69,
5065,goat.120.1,120,5,dentine,Capra,hircus,2.433,0.244,0.244,-23.21,3.8,15.4,41.95,2.72,
5066,goat.120.2,120,5,dentine,Capra,hircus,2.484,0.26,0.26,-23.24,3.79,14.97,40.85,2.73,
5067,goat.120.3,120,5,dentine,Capra,hircus,2.544,0.261,0.261,-23.25,3.84,14.4,39.24,2.72,
17653,goat.1440.1,1440,5,dentine,Capra,hircus,2.072,0.092,0.08,-22.82,3.41,14.67,44.87,3.06,collagen stuck to vial and un-recoverable
17654,goat.1440.2,1440,5,dentine,Capra,hircus,2.154,0.158,0.14,-22.94,3.88,15.19,44.47,2.93,
17655,goat.1440.3,1440,5,dentine,Capra,hircus,2.061,0.231,0.237,-23.12,4.09,14.96,43.42,2.9,
17659,goatRT.1080.1,1080,25,dentine,Capra,hircus,2.061,0.139,0.133,-23,3.94,15.24,44.58,2.93,
17660,goatRT.1080.2,1080,25,dentine,Capra,hircus,2.036,0.141,0.149,-23.14,4.01,14.78,43.37,2.93,
17661,goatRT.1080.3,1080,25,dentine,Capra,hircus,1.944,0.146,0.148,-22.96,3.97,14.71,42.91,2.92,
17662,goatRT.1440.1,1440,25,dentine,Capra,hircus,1.995,0.19,0.2,-22.98,4.16,15.04,43.37,2.88,
17663,goatRT.1440.2,1440,25,dentine,Capra,hircus,2.036,0.196,0.201,-23.05,4.12,15.31,44.19,2.89,
17664,goatRT.1440.3,1440,25,dentine,Capra,hircus,2.335,0.255,0.265,-23.02,4.16,15,43.14,2.88,
17457,shark.000.1,0,5,dentine,Prionace,glauca,1,1,4.17,-15.12,12.12,2.46,7.7,3.13,
17458,shark.000.2,0,5,dentine,Prionace,glauca,1,1,3.949,-15.12,12.11,2.48,7.72,3.11,
17459,shark.000.3,0,5,dentine,Prionace,glauca,1,1,4.868,-15.06,12,2.51,7.83,3.12,
17388,shark.005.1,5,5,dentine,Prionace,glauca,3.946,1.319,0.873,-15.15,11.85,5.3,15.97,3.01,
17389,shark.005.2,5,5,dentine,Prionace,glauca,3.958,1.359,1.107,-15.25,11.88,5.54,16.73,3.02,
17390,shark.005.3,5,5,dentine,Prionace,glauca,3.915,1.377,0.953,-15.19,11.88,5.42,16.4,3.02,
17391,shark.010.1,10,5,dentine,Prionace,glauca,4.098,0.935,0.199,-15.27,11.95,28.78,86.63,3.01,
17392,shark.010.2,10,5,dentine,Prionace,glauca,4.049,0.882,0.298,-15.24,11.73,10.07,30.54,3.03,
17393,shark.010.3,10,5,dentine,Prionace,glauca,3.961,0.849,0.473,-15.09,11.76,9.12,26.86,2.95,
17394,shark.015.1,15,5,dentine,Prionace,glauca,3.997,0.776,0.305,-15.21,11.64,10.83,32.45,3,
17395,shark.015.2,15,5,dentine,Prionace,glauca,3.914,0.863,0.596,-15.15,11.82,8.89,26.52,2.98,
17396,shark.015.3,15,5,dentine,Prionace,glauca,4.131,0.892,0.573,-15.12,11.8,8.71,25.98,2.98,
17397,shark.020.1,20,5,dentine,Prionace,glauca,3.946,0.822,0.488,-15.25,11.78,9.96,29.93,3.01,
17401,shark.020.2,20,5,dentine,Prionace,glauca,3.943,0.886,0.692,-15.16,11.77,8.19,24.59,3,
17402,shark.020.3,20,5,dentine,Prionace,glauca,4.082,0.888,0.651,-15.29,11.46,3.23,10.13,3.13,
17403,shark.025.1,25,5,dentine,Prionace,glauca,4.197,0.841,0.597,-15.22,11.79,8.85,26.67,3.01,
17404,shark.025.2,25,5,dentine,Prionace,glauca,4.054,0.967,0.774,-15.12,11.82,8.3,24.97,3.01,
17405,shark.025.3,25,5,dentine,Prionace,glauca,4.08,0.933,0.847,-15.14,11.83,8.39,25.22,3.01,
17406,shark.030.1,30,5,dentine,Prionace,glauca,4.185,1.026,0.472,-15.34,11.72,8.43,26.17,3.1,
17407,shark.030.2,30,5,dentine,Prionace,glauca,3.906,0.914,0.5,-15.08,11.72,8.87,26.98,3.04,
17408,shark.030.3,30,5,dentine,Prionace,glauca,3.963,0.963,0.806,-15.2,11.85,7.93,23.98,3.02,
